Code,Facility Name,Province,County,Sub County,Ward
14180,10 Engineer VCT,Laikipia,Laikipia,Laikipia East,Nanyuki
17486,12 Engineers,Kiambu,Kiambu,Thika Town,Hospital
18772,360 MEDICARE CLINIC,Nyamira,Nyamira,Manga,Manga
14181,3KR Health Centre,Nakuru,Nakuru,Nakuru East,Menengai
11917,78 Tank Battalion Dispensary,Isiolo,Isiolo,Isiolo,Wabera
13043,7KR MRS Health Centre,Nairobi,Nairobi,Langata,Mugumo-ini
14182,8th Street Clinic,Kajiado,Kajiado,Kajiado West,Ewuaso Oo Nkidong'i
18137,A to Z Quality Health Family Health Services,Nakuru,Nakuru,Njoro,Njoro
15837,A.C.K Butonge Dispensary,Bungoma,Bungoma,Sirisia,Malakisi/South Kulisiru
20346,AAR Adams Health Centre,Nairobi,Nairobi,Westlands,Kangemi
12861,AAR City Centre Clinic,Nairobi,Nairobi,Starehe,Nairobi Central
16796,AAR Clinic Sarit Centre (Westlands),Nairobi,Nairobi,Westlands,Parklands/Highridge
23439,AAR Donholm,Nairobi,Nairobi,Embakasi East,Upper Savannah
18178,AAR Eldoret,Uasin Gishu,Uasin Gishu,Soy,Kuinet/Kapsuswa
19958,AAR Gwh Health Care Ltd,Nairobi,Nairobi,Dagoretti North,Kilimani
20405,AAR Health Care,Nairobi,Nairobi,Embakasi East,Embakasi
21981,AAR Health Care Ruaka,Kiambu,Kiambu,Kiambaa,Ndenderu
20956,AAR Health Care-Kisumu,Kisumu,Kisumu,Kisumu Central,Market Milimani
20940,AAR Healthcare,Kiambu,Kiambu,Thika Town,Township
24542,AAR Healthcare (K) Limited,Nairobi,Nairobi,Langata,South C
23611,AAR Healthcare buruburu,Nairobi,Nairobi,Makadara,Harambee
18859,AAR Healthcare Limited (Karen),Nairobi,Nairobi,Langata,Karen
12862,AAR Kariobangi Clinic,Nairobi,Nairobi,Kasarani,Mwiki
11194,AAR Medical Services (Docks),Mombasa,Mombasa,Mvita,Shimanzi/Ganjoni
20140,AAR Mountain mall,Nairobi,Nairobi,Roysambu,Roysambu
14183,AAR Nakuru Clinic,Nakuru,Nakuru,Nakuru West,London
21862,AAR Ngong Clinic,Kajiado,Kajiado,Kajiado North,Ngong
22165,AAR Nyali Heallthcare(K) LTD Nyali,Mombasa,Mombasa,Nyali,Ziwa La Ng'ombe
12863,AAR Thika Road Clinic,Nairobi,Nairobi,Roysambu,Roysambu
18821,Abakaile Dispensary,Garissa,Garissa,Dadaab,Abakaile
13265,Abakore Sub District Hospital,Wajir,Wajir,Wajir South,Habasswein
12864,Abandoned Child Care,Nairobi,Nairobi,Dagoretti South,Uthiru/Ruthimitu
19484,Abby Medical Clinic,Nairobi,Nairobi,Westlands,Kangemi
12126,ABC Thange Dispensary,Makueni,Makueni,Kibwezi East,Thange
24214,ABDALLAH & ASSOCIATES DENTAL AND IMPLANT CENTRE,Nairobi,Nairobi,Starehe,Nairobi Central
17009,Abdisamad Dispensary,Garissa,Garissa,Balambala,Sankuri
20689,Abdiwaqo Dispensary,Wajir,Wajir,Eldas,Della
10002,Aberdare  Medical & Surgical Clinic,Nyeri,Nyeri,Nyeri South,Iria-ini
21416,Aberdare Medical Centre Ltd,Muranga,Muranga,Kigumo,Kangari
13461,Abidha Health Centre,Siaya,Siaya,Rarieda,East Asembo
24008,Abigael Health Care Centre,Uasin Gishu,Uasin Gishu,Kesses,Cheptiret/Kipchamo
24871,ABISHAG MEDICAL CLINIC,Nyandarua,Nyandarua,Oljoroorok,Weru
16716,Able Medical Clinic,Kakamega,Kakamega,Shinyalu,Isukha Central
23541,Aboge Health Centre,Kisumu,Kisumu,Kisumu West,West Kisumu
15789,Aboloi Dispensary,Busia,Busia,Teso North,Ang'urai South
19441,ABRA Health Services,Nairobi,Nairobi,Embakasi East,Upper Savannah
19562,Abraham Memorial Nursing Home,Nairobi,Nairobi,Westlands,Kangemi
10004,Abrahams Clinic,Kirinyaga,Kirinyaga,Kirinyaga Central,Inoi
21999,ABRAR HEALTH SERVICES-BANISA,Mandera,Mandera,Banissa,Banissa
20524,Absalom Wangulu Dispensary,Kisumu,Kisumu,Nyando,Kobura
19897,Abundant Life Clinic,Kisumu,Kisumu,Kisumu Central,Nyalenda B
23596,Abundant Medical Clinic,Kiambu,Kiambu,Kabete,Kabete
25228,Abuoro Dispensary,Homa Bay,Homa Bay,Ndhiwa,Kanyamwa Kologi
19980,Acacia Clinic,Nairobi,Nairobi,Dagoretti North,Kileleshwa
14184,Acacia Medicare Clinic,Kajiado,Kajiado,Kajiado North,Ngong
25052,ACC&S Chomo Community Dispensary,Muranga,Muranga,Gatanga,Gatanga
18965,Acc&s Kariua Dispensary,Muranga,Muranga,Kandara,Gaichanjiru
24937,ACC&S Kigumo Dispensary,Muranga,Muranga,Kigumo,Kigumo
19467,Access Afya Kenya Medical Clinic,Nairobi,Nairobi,Starehe,Nairobi South
23850,Access Afya Kiambiu,Nairobi,Nairobi,Kamukunji,Eastleigh South
24002,Access Afya Kwa Reuben Clinic,Nairobi,Nairobi,Embakasi South,Kwa Reuben
24878,Access Afya Mathare,Nairobi,Nairobi,Mathare,Mabatini
21158,Access Afya Medical Centre,Nairobi,Nairobi,Embakasi South,Kwa Reuben
20823,Ace Africa (K) Wellness Centre,Bungoma,Bungoma,Kanduyi,Khalaba
12791,Acef Ena Health Centre,Embu,Embu,Runyenjes,Kagaari South
11918,ACK Dispensary (Isiolo),Isiolo,Isiolo,Isiolo,Burat
17513,ACK Dr Pike Roper Medical Center,Bungoma,Bungoma,Kanduyi,East Sang'alo
24590,ACK Emmanuel Mission Hospital,Kiambu,Kiambu,Kikuyu,Kikuyu
21355,ACK Ikulu Faith Dispensary,Machakos,Machakos,Kangundo,Kangundo North
23707,ACK Kaganda Church Dispensary,Muranga,Muranga,Kiharu,Murarandia
18964,ACK Leah Njoki Dispensary,Muranga,Muranga,Kiharu,Wangu
19651,ACK Mwingi CHBC Clinic,Kitui,Kitui,Mwingi Central,Central
22609,ACK Nguni Annex Clinic,Kitui,Kitui,Mwingi Central,Nguni
15369,ACK Nturumeti Dispensary,Narok,Narok,Narok East,Mosiro
22303,ACK OTARO COMMUNITY DISPENSARY,Homa Bay,Homa Bay,Homa Bay Town,Homa Bay East
24879,ACK St. Stephen's Ralak Medical Clinic,Siaya,Siaya,Ugenya,North Ugenya
11195,Acode Medical Clinic Maungu,Taita Taveta,Taita Taveta,Voi,Marungu
23390,Action Ministry Clinic,Kwale,Kwale,Msambweni,Ramisi
13266,Adadijolle Dispensary,Wajir,Wajir,Wajir North,Bute
11196,ADC Danisa Dispensary,Kilifi,Kilifi,Magarini,Adu
13267,Ademasajida Dispensary,Wajir,Wajir,Wajir West,Ademasajide
20357,Adenawale Dispensary,Wajir,Wajir,Wajir West,Arbajahan
13463,Adiedo Dispensary,Homa Bay,Homa Bay,Karachuonyo,Kanyaluo
13464,Administration Police Dispensary (Kisumu),Kisumu,Kisumu,Kisumu Central,Railways
18171,Administration Police Senior Staff College Dispensary,Kajiado,Kajiado,Kajiado East,Kenyawa-poka
20479,Adoma Medical Clinic,Migori,Migori,Awendo,Central Sakwa
23590,Adonai Medical Clinic,Kakamega,Kakamega,Shinyalu,Isukha Central
22344,Adonai Medical Services,Kiambu,Kiambu,Kiambaa,Ndenderu
21294,Adopta Life Foundation (Ruai),Nairobi,Nairobi,Kasarani,Ruai
24093,Adora Children's Clinic,Kajiado,Kajiado,Kajiado East,Kitengela
11198,Adu Dispensary,Kilifi,Kilifi,Magarini,Adu
21741,Adungosi Medical Clinic,Busia,Busia,Teso South,Chakol South
14185,Adurkoit Dispensary,West Pokot,West Pokot,West Pokot,Riwo
24675,Advent Medicare and Maternity Center,Nakuru,Nakuru,Rongai,Menengai West
18535,Adventist Centre for Care and Support,Nairobi,Nairobi,Dagoretti North,Kilimani
23406,AFARSHANLE DISPENSARY,Wajir,Wajir,Wajir East,Wagberi
25435,Aflah Medical Centre,Lamu,Lamu,Lamu West,Hindi
23567,Afnaan Health Care Services,Garissa,Garissa,Garissa,Township
18382,Afraha Maternity and Nursing Home,Nakuru,Nakuru,Nakuru East,Biashara
13268,Africa Inland Church Dispensary,Wajir,Wajir,Wajir East,Wagberi
25539,Africa Inuka Hospital,Kisumu,Kisumu,Kisumu Central,Market Milimani
20848,Africa Muslim Agency Dispensary,Isiolo,Isiolo,Garbatulla,Garba Tulla
20320,Africa Muslim Agency Dispensary (Kilifi),Kilifi,Kilifi,Kilifi North,Kibarani
20090,African Divine Church VCT,Nairobi,Nairobi,Westlands,Karura
15034,Africana Mall Healthcare Limited,Turkana,Turkana,Turkana Central,Lodwar Township
23889,Africare Kisumu MEDANTA,Kisumu,Kisumu,Kisumu Central,Market Milimani
23455,Africare Limited - (Nakuru),Nakuru,Nakuru,Nakuru East,Biashara
22916,Africare Limited Embakasi Clinic,Nairobi,Nairobi,Embakasi South,Imara Daima
13181,Africare Ltd (South C),Nairobi,Nairobi,Langata,South C
22867,Africare Ltd Forts building,Nairobi,Nairobi,Kibra,Woodley/Kenyatta Golf Course
22639,Africare Ltd Karen Clinic,Nairobi,Nairobi,Langata,Karen
23189,Africare Ltd Medica (TRM),Nairobi,Nairobi,Roysambu,Roysambu
