County,Sub County,Facility,Mfl Code,Emr Site,Keph Level,Partner
Homa Bay,Ndhiwa,Ndisi Dispensary,"16,771",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Homa Bay Town,Homa Bay County Teaching and Referral Hospital,"13,608",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Ndhiwa,Got Kojowi Health Centre,"13,589",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Kobuya Dispensary,"13,708",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rangwe,Obunga Dispensary,"13,957",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba South,Suba District Hospital,"14,130",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Rangwe,Kager Dispensary,"13,643",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba South,Kiembe Dispensary,"18,077",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Ndhiwa,Ndhiwa DH,"13,841",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Homa Bay Town,Kijawa Dispensary,"16,765",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba South,Nyamrisra Health Centre,"13,915",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba North,Ogongo Sub County Hospital,"13,967",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Lela (Community) Dispensary,"13,733",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba West,Soklo Dispensary,"14,095",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Got Oyaro Dispensary,"13,592",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Homa Bay Town,Pala Masogo Health Center,"19,859",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Ndhiwa,Amoyo Dispensary,"16,768",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba North,Waware Dispensary,"14,171",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Ngeta Dispensary,"20,168",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo East,Ober Health Center,"13,953",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo East,Atela Health Centre,"18,610",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rangwe,Obwanda Dispensary,"13,958",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Homa Bay Town,GK Prison Dispensary (Homa Bay),"13,578",Yes,Level 3,LVCT Prisons
Homa Bay,Rachuonyo South,Agawo Health Centre,"13,466",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Chuowe Dispensary,"13,529",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rangwe,Nyawita Dispensary,"19,864",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Homa Bay Town,Wiga Dispensary,"14,172",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Homa Bay Town,Miniambo Dispensary,"16,766",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Ndhiwa,Kobodo Dispensary,"20,241",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rangwe,Oneno Dispensary,"16,985",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Rangwe,Wikoteng Dispensary,"19,865",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Homa Bay Town,Makongeni Health Centre,"19,858",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Kabondo Sub County Hospital,"13,638",Yes,Level 4,HOMA BAY CHMT
Homa Bay,Suba South,Lwanda Gwassi Dispendary,"13,742",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rangwe,Nduga Dispensary,"19,868",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba South,Kigwa Dispensary,"13,691",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Suba South,Kisaku Dispensary,"13,700",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Othoro Sub District Hospital,"14,002",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Pala Level4,"14,011",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Suba North,Litare community health centre,"22,476",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo South,Sino Health Centre,"14,092",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Homa Lime Health Centre,"13,607",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rangwe,Ngegu Dispensary,"13,849",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba North,Obalwanda Dispensary,"13,950",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Ndhiwa,Lwanda Awiti Dispensary,"16,770",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Ndhiwa,Ombo Kachieng' Dispensary,"13,979",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Raruowa Health Centre,"14,039",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Adiedo Dispensary,"13,463",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Malela Dispensary,"13,761",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Ndhiwa,Lambwe Forest Dispensary,"13,732",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Wagwe Health Center,"14,168",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Maram Dispensary,"16,258",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba North,Ndhuru Dispensary,"13,842",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo South,Rachuonyo sub-county Hospital,"14,022",Yes,Level 4,HOMA BAY CHMT
Homa Bay,Rangwe,Randung Dispensary,"14,031",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba South,Seka Health Centre,"14,074",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Ndere Dispensary,"20,173",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Nyaoga Dispensary,"16,876",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba South,Msare Health Centre,"13,828",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Ndhiwa,Kwamo Dispensary,"13,728",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Kangir Dispensary,"20,169",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba North,Mbita DH,"13,798",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Masogo Dispensary,"13,784",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba West,Remba Dispensary,"17,593",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Suba North,Ngodhe Island Dispensary,"13,854",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Suba North,Lambwe Dispensary,"13,731",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Ndhiwa,Kiasa Dispensary,"13,686",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rangwe,Nyarut Health Centre,"19,860",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba North,Ponge Dispensary (Mbita),"14,016",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo South,Ongamo Dispensary,"18,892",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo South,Koywech Dispensary,"18,531",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Nguku Dispensary,"13,855",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Tala Health Centre,"17,170",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Suba South,Godbura Health Centre,"13,585",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Chuthber Dispensary,"13,530",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Otange Dispensary,"18,877",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Kokwanyo Health Centre,"13,712",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Ober Kabuoch Dispensary,"13,952",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Olando Dispensary,"13,974",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Ndhiwa,Ponge Dispensary - Ndhiwa,"14,015",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba West,Takawiri Dispensary,"14,140",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo South,Ombek Health Centre,"13,978",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo South,Nyangiela Sub District Hospital,"13,926",Yes,Level 4,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Nyangajo Dispensary,"20,172",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Kajieyi Dispensary,"13,646",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo East,Kauma Health Centre,"13,658",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Lwanda Kobita Dispensary,"20,285",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Got Kamondi Dispensary,"18,874",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Ndhiwa,Magina Health Centre,"13,751",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba South,Ngeri Dispensary,"17,711",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Suba South,Kisegi SDH,"13,701",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Suba West,Wakula Health Centre,"14,169",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Ndhiwa,Kachuth Dispensary,"18,876",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo East,Omiro Dispensary,"13,981",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,GK Prison Health Centre (Rachuonyo North),"30,176",Yes,Level 3,LVCT Prisons
Homa Bay,Homa Bay Town,Orego Health Centre,"21,163",New,Level 2,No Partner
Homa Bay,Homa Bay Town,Ojunge Health Centre,"21,610",New,Level 2,No Partner
Homa Bay,Homa Bay Town,Otaro Health Centre,"22,303",New,Level 2,No Partner
Homa Bay,Homa Bay Town,Gilbert Obora Pedo Health Centre,"28,505",New,Level 2,No Partner
Homa Bay,Homa Bay Town,Imbo Health Centre,"28,506",New,Level 2,No Partner
Homa Bay,Ndhiwa,Randhore Health Center,"22,493",New,Level 2,No Partner
Homa Bay,Ndhiwa,Andiwo Health Center,"23,478",New,Level 2,No Partner
Homa Bay,Ndhiwa,Odaso Health Center,"28,581",New,Level 2,No Partner
Homa Bay,Ndhiwa,Ondati Health Center,"29,273",New,Level 2,No Partner
Homa Bay,Ndhiwa,Rayudhi Health Center,"21,534",New,Level 2,No Partner
Homa Bay,Ndhiwa,Ongako Health Center,"23,442",New,Level 2,No Partner
Homa Bay,Ndhiwa,Kawanga Health Center,"23,479",New,Level 2,No Partner
Homa Bay,Ndhiwa,Kabongo Community Health Centre,"22,988",New,Level 2,No Partner
Homa Bay,Ndhiwa,Got Rachar Health Center,"28,513",New,Level 2,No Partner
Homa Bay,Ndhiwa,Abuoro Health Center,"25,228",New,Level 2,No Partner
Homa Bay,Ndhiwa,Wikomimo Dispensary,"21,537",New,Level 2,No Partner
Homa Bay,Ndhiwa,Ratanga Health center,"26,802",New,Level 2,No Partner
Homa Bay,Ndhiwa,Nyamogo Health Center,"25,759",New,Level 2,No Partner
Homa Bay,Ndhiwa,Nyamanga Health Center (Ndhiwa),"25,596",New,Level 2,No Partner
